ID	Name
tg	Telegram
ig	Instagram
go	Google,youtube,Gmail
wa	Whatsapp
nv	Naver
oi	Tinder
vi	Viber
ts	PayPal
mm	Microsoft
aba	Rappi
abb	Coca-Cola
abn	Bybit
ac	DoorDash
acb	Spark Driver
acz	Claude
ada	TRUTH SOCIAL
aea	HungryPanda
aeu	TheFork
aev	Inshallah
aez	Shein
afk	Chevron
aft	Neocrypto
afz	Klarna
agk	Ipsos iSay
agy	Pixels
ahe	Bunq
aho	Upland
ahv	Curve
ai	CELEBe
aig	Five Surveys
aim	Firebase
ait	FeetFinder
aiv	Remitly
aiw	Roblox
aiz	Brevo
aja	G2A
ajj	Rebtel
ak	Douyu
ako	Ryde
alq	Etsy
am	Amazon
ama	WooPlus
amb	Vercel
aml	Xbox
an	Adidas
ane	Supercell
anj	Gemini
anp	Blackcatcard
aob	Anthropic
aoe	Sendwave
aoi	Cryptonow
aoj	Simply
aok	NETELLER
aol	Paysera
aom	Monzo
aon	Binance
aor	OKX
aow	Geekay
ape	Toutiao
apk	Liberty
apl	Sideline
apm	Index
app	ClassPass
apr	Capital One
apt	Airwallex
aqf	Coze
aqg	Publix
aqh	Rayobyte
aqt	Skrill
are	Seated
arl	Mainvest
asd	Hongguo 红果短剧
asf	TextFree
asn	Boletomovil
asp	PhonePe
asq	Warpcast
atm	Yotta
atr	RIDE
atw	DeepSeek
atx	Winee3
atz	Air India
aub	Smitten
auj	High 5 Casino
aul	Alignable
aum	Chipper Cash
auz	Outlier
avc	Bunches
bf	Keybase
bl	BIGO LIVE
bo	Wise
bs	TradeUP
bz	Blizzard
ck	BeReal
cq	Mercado
dc	YikYak
dd	CloudChat
dg	Mercari
dp	ProtonMail
dq	IceCasino
dr	OpenAI
ds	Discord
ef	Nextdoor
ep	Temu
et	Clubhouse
ew	Nike
fs	Şikayet var
fu	Snapchat
gf	GoogleVoice
gm	Mocospace
gp	Ticketmaster
gq	Freelancer
gr	Astropay
gs	SamsungShop
GT	Gett
gx	Hepsiburadacom
hb	Twitch
ho	Cathay
hw	Alipay/Alibaba
ij	Revolut
im	Imo
it	CashApp
ja	Weverse
jg	Grab
jq	Paysafecard
ka	Shopee
kc	Vinted
kf	Weibo
ki	99app
kt	KakaoTalk
lf	TikTok/Douyin
li	Baidu
lo	OPPO
ls	Careem
lx	DewuPoison
ma	Mail.ru
mb	Yahoo
mc	Michat
me	Line msg
mj	Zalo
mo	Bumble
mt	Steam
my	CAIXA
nc	Payoneer
nf	Netflix
nz	Foodpanda
oe	Codashop
ot	Any other
oz	Poshmark
pm	AOL
qf	RedBook
qo	Moneylion
qq	Tencent QQ
qx	WorldRemit
rc	Skype
re	Coinbase
rm	Faberlic
rr	Wolt
rz	EasyPay
sf	SneakersnStuff
sn	OLX
th	WestStein
tr	Paysend
tu	Lyft
tv	Flink
tw	Twitter
tx	Bolt
ub	Uber
uk	Airbnb
ul	Getir
uz	OffGamers
vm	OkCupid
vp	Kwai
vz	Hinge
wb	WeChat
wc	Craigslist
wg	Skout
wr	Walmart
wx	Apple
xv	Wish
ya	Yandex
yl	Yalla
yw	Grindr
yy	Venmo
za	JDcom
zh	Zoho
zk	Deliveroo
zm	OfferUp
zr	Papara
zy	Nttgame
